Town,State,County
Howell,MI,Livingston
Flat Rock,MI,Wayne
Alma,MI,Gratiot
Harrisville State Park,MI,NULL
Frankfort,MI,Benzie
Bridgeport,MI,Saginaw
Addison Twp.,MI,NULL
Rockford,MI,Kent
Carp Lake,MI,Emmet
Kingsley,MI,Grand Traverse
Tawas,MI,NULL
Hale,MI,NULL
Coloma,MI,Berrien
Pentwater,MI,Oceana
Clinton,MI,Lenawee
Bath Township,MI,NULL
Chesaning,MI,Saginaw
Cooks,MI,NULL
Mount Pleasant,MI,Isabella
Williamstown,MI,NULL
Bingham,MI,NULL
Denton Township,MI,NULL
Freeland,MI,Saginaw
Elk Rapids,MI,Antrim
Watertown Twp,MI,NULL
Lake Linden,MI,Houghton
Kingsford,MI,Dickinson
Reading,MI,Hillsdale
Fort Gratiot,MI,NULL
Shelby Twp.,MI,NULL
Newport,MI,NULL
Richland,MI,Kalamazoo
Rochester Hills,MI,Oakland
Big Rapids,MI,Mecosta
Rogers City,MI,Presque Isle
South Haven,MI,Van Buren
Alamo,MI,NULL
Cadillac,MI,Wexford
White Lake,MI,NULL
Black River,MI,NULL
Mohawk,MI,Keweenaw
Grand Haven,MI,Ottawa
Felch,MI,NULL
Grayling,MI,Crawford
Lake Leelanau,MI,Leelanau
Trenton,MI,Wayne
Blissfield,MI,Lenawee
Beaver Island,MI,NULL
Grosse Pointe Farms,MI,Wayne
Laingsburg,MI,Shiawassee
Hancock,MI,Houghton
Pittsford,MI,Hillsdale
Temperance,MI,Monroe
National City,MI,NULL
Stockbridge,MI,Ingham
Copper Harbor,MI,Keweenaw
Orchard Lake,MI,NULL
Blanchard,MI,NULL
Grant,MI,Newaygo
Boyne City,MI,Charlevoix
Hastings,MI,Barry
Pointe Aux Pins,MI,NULL
Detroit,MI,Wayne
Hessel,MI,NULL
White Lake Charter Township,MI,NULL
Grawn,MI,Grand Traverse
Camden,MI,Hillsdale
Charlotte,MI,Eaton
Allenton,MI,NULL
"Suttons Bay,Mi",MI,NULL
Attica,MI,Lapeer
Mesick,MI,Wexford
Kentwood,MI,Kent
Rosebush,MI,Isabella
Alanson,MI,Emmet
Royal Oak,MI,Oakland
Fennville,MI,Allegan
Newaygo,MI,Newaygo
Jones,MI,NULL
Bark River,MI,NULL
New Era,MI,Oceana
Petosky,MI,NULL
Hesperia,MI,Oceana
Wyandotte,MI,Wayne
Allen Park,MI,Wayne
Berrien Springs,MI,Berrien
Horton Bay,MI,Charlevoix
Huntington Woods,MI,Oakland
Grosse Pointe,MI,Wayne
Gwinn,MI,Marquette
Bloomingdale,MI,Van Buren
Gaylord,MI,Otsego
Independence,MI,NULL
Sumner,MI,NULL
Byron Center,MI,Kent
Oxford,MI,Oakland
Holt,MI,Ingham
Harrison Twp,MI,NULL
Columbus,MI,NULL
Brandon Twp,MI,NULL
Chocolay Twp,MI,NULL
Dearborn Heights,MI,Wayne
Flint,MI,Genesee
Stanton,MI,Montcalm
Troy,MI,Oakland
Delhi Charter Township,MI,NULL
Sparta,MI,Kent
Brevort,MI,NULL
Shelby Twp,MI,NULL
Deckerville,MI,Sanilac
Saint Joseph,MI,NULL
Eagle Lake,MI,NULL
Dearborn,MI,Wayne
Herron,MI,NULL
Bangor Charter Twp,MI,NULL
Springport,MI,Jackson
Rome Township,MI,NULL
Nunica,MI,Ottawa
Bloomfield Twp,MI,NULL
New Haven,MI,Macomb
Howelll,MI,NULL
Macomb,MI,NULL
Marion,MI,Osceola
Armada,MI,Macomb
Ortonville,MI,Oakland
Jeddo,MI,NULL
Harbor Springs,MI,Emmet
Ida,MI,Monroe
Cannonsburg,MI,Kent
Honor,MI,Benzie
Eau Claire,MI,Berrien
Casco,MI,NULL
Naubinway,MI,Mackinac
Sandstone Twp,MI,NULL
Union Charter Township,MI,NULL
Curtis,MI,NULL
Saint Charles,MI,NULL
Woodhaven,MI,Wayne
Lake Michigan Beach,MI,Berrien
Ithaca,MI,Gratiot
Mills Township,MI,NULL
Imlay City,MI,Lapeer
Climax,MI,Kalamazoo
Manistique,MI,Schoolcraft
Leelanau Township,MI,NULL
Gay Lac,MI,NULL
Houghton Lake,MI,Roscommon
,NY,NULL
Delhi,NY,NULL
Preston,NY,NULL
Greenlawn,NY,Suffolk
Town Of Farmersville,NY,NULL
West Nyack,NY,Rockland
Queens Village,NY,NULL
Ovid,NY,NULL
Granville,NY,NULL
Thornwood,NY,Westchester
"West Point ,New York",NY,NULL
Holland Patent,NY,Oneida
The Bronx,NY,NULL
"Smith Point County Park, Li, Ny",NY,NULL
South Ozone Park,NY,NULL
Smyrna,NY,NULL
Freeville,NY,Tompkins
Franklin,NY,Delaware
Mechanicville,NY,Saratoga
Westhampton Beach,NY,Suffolk
Lexington,NY,NULL
Erieville,NY,NULL
Town Of Groton,NY,NULL
Old Chatham,NY,NULL
Watervliet,NY,Albany
Friendship,NY,NULL
Rensselaer Falls,NY,St. Lawrence
Macedon,NY,NULL
Ashland,NY,NULL
East Islip,NY,Suffolk
Rush,NY,NULL
Shortsville,NY,Ontario
Lake Grove,NY,Suffolk
Jamesville,NY,NULL
New Hartford,NY,NULL
Ny,NY,NULL
Sterling,NY,NULL
Goldens Bridge,NY,NULL
Town Of Au Sable,NY,NULL
Salt Point,NY,Dutchess
Rochester,NY,Monroe
Willow,NY,NULL
Cohoes,NY,Albany
Westfield,NY,NULL
Beekman,NY,NULL
Owasco,NY,NULL
Cayuga County,NY,NULL
Commack,NY,Suffolk
Cattaraugus,NY,Cattaraugus
Mount Kisco,NY,Westchester
Westport,NY,NULL
Tuxedo,NY,Orange
Waverly,NY,Tioga
Pawling,NY,NULL
New Hyde Park,NY,Nassau
Astoria,NY,NULL
Kismit  Fire Island Ny,NY,NULL
Hauppauge,NY,Suffolk
Conklingville,NY,NULL
Marcellus,NY,NULL
Lake Pleasant,NY,NULL
Rodman,NY,NULL
South Fallsburg,NY,Sullivan
Honeoye Lake,NY,NULL
Breezy Point,NY,NULL
Windham,NY,NULL
Green Island,NY,Albany
Brooklyn,NY,Kings
Shoreham,NY,Suffolk
Hartsdale,NY,Westchester
Town Of Canisteo,NY,NULL
West Winfield,NY,Herkimer
Town Of Gardiner,NY,NULL
Lake George,NY,NULL
Ellisburg,NY,NULL
Scotia,NY,Schenectady
Brewerton,NY,Onondaga
Stephentown,NY,NULL
Babylon Robert Moses Beach,NY,NULL
Nineveh,NY,NULL
Westchester,NY,NULL
Gilgo-Oak Beach-Captree,NY,NULL
Norwich,NY,Chenango
Long Island,NY,NULL
Long Beach,NY,Nassau
Remsen,NY,NULL
Liverpool,NY,Onondaga
Meridian,NY,Cayuga
West Hampton Dunes,NY,Suffolk
Fairport,NY,Monroe
Nesseqogue,NY,NULL
"Bronx, Nyc",NY,NULL
Holley,NY,Orleans
Callicoon,NY,NULL
Lewiston,NY,NULL
West Islip,NY,Suffolk
Scottsville,NY,Monroe
Auburn,NY,Cayuga
Glendale,NY,NULL
Rosendale,NY,NULL
Corinth,NY,NULL
Sodus Point,NY,Wayne
East Greenbush,NY,NULL
"Brooklyn, New York",NY,NULL
Bethel,NY,NULL
Broxz,NY,NULL
Plandome,NY,Nassau
Stanley,NY,NULL
Clarkson,NY,NULL
Lake Katrine,NY,Ulster
Mayville,NY,Chautauqua
Hudson River,NY,NULL
Richmond Hill,NY,NULL
Hornell,NY,Steuben
Town Of Greenwich,NY,NULL
Stillwater,NY,NULL
Flushing,NY,NULL
Sea Cliff,NY,Nassau
Harrison,NY,Westchester
Lake Placid,NY,Essex
North Creek,NY,Warren
Watkins Glen,NY,Schuyler
Martville,NY,NULL
Schuyler Falls,NY,NULL
Town Of Otisco,NY,NULL
Newburgh,NY,NULL
Town Of Schuyler,NY,NULL
Ontario,NY,NULL
Tillson,NY,Ulster
Monroe,NY,NULL
Nunda,NY,NULL
Otisco,NY,NULL
Putnam Valley,NY,NULL
Andover,NY,NULL
Charleston,NY,NULL
Pelham Manor,NY,Westchester
Hannibal,NY,NULL
Tioga,NY,NULL
Johnsburg,NY,NULL
Cold Brook,NY,Herkimer
Robert Moses State Park,NY,NULL
Albertson,NY,Nassau
Castleton On Hudson,NY,NULL
New Paltz,NY,NULL
Durhamville,NY,Oneida
Tappan,NY,Rockland
Kinderhook,NY,NULL
Robert Moses,NY,NULL
Town Of Savannah,NY,NULL
Webster,NY,NULL
Central Islip,NY,Suffolk
Freeport,NY,Nassau
Getzville,NY,NULL
Town Of Arcade,NY,NULL
Honeoye,NY,Ontario
Fredonia Village,NY,NULL
Gabriels,NY,NULL
Wallkill,NY,NULL
Lynbrook,NY,Nassau
Wading River,NY,Suffolk
Inlet,NY,NULL
Ogdensburg,NY,St. Lawrence
Oneonta Town,NY,NULL
Rock Tavern,NY,NULL
Woodbourne,NY,Sullivan
Somers,NY,NULL
Dover Plains,NY,Dutchess
Catskill,NY,NULL
Kerhonkson,NY,Ulster
Saackets Harbor,NY,NULL
Manhatten,NY,NULL
Camillus,NY,NULL
Central Valley,NY,NULL
Nyack,NY,Rockland
Northport,NY,Suffolk
Baldwin,NY,Nassau
Verona Beach,NY,NULL
Croton-On-Hudson,NY,Westchester
Beacon,NY,Dutchess
Andes,NY,NULL
Wassaic,NY,Dutchess
Geneseo,NY,NULL
Hague,NY,NULL
Howard Beach,NY,NULL
Maine,NY,NULL
"Andover, New Jersey",NY,NULL
Medford,NY,Suffolk
Cutchogue,NY,Suffolk
East Syracuse,NY,Onondaga
Cassville,NY,NULL
Strykersville,NY,Wyoming
Town Of Newcomb,NY,NULL
Little Falls,NY,Herkimer
Rockaway Park,NY,NULL
East Setauket,NY,Suffolk
Painted Post,NY,Steuben
Ballston,NY,NULL
Gouverneur,NY,NULL
Honeoye Falls,NY,Monroe
Schaghticoke,NY,NULL
Lima,NY,NULL
Town Of Southold,NY,NULL
Amsterdam,NY,Montgomery
West Valley,NY,Cattaraugus
Hilton,NY,Monroe
Huletts Landing,NY,NULL
Eden,NY,NULL
Staatsburg,NY,Dutchess
Yonkers,NY,Westchester
Hastings-On-Hudson,NY,Westchester
Roslyn,NY,Nassau
South Salem,NY,NULL
Cazenovia,NY,NULL
Sandfordville,NY,NULL
North Merrick,NY,Nassau
Pine Bush,NY,Orange
Livonia,NY,NULL
Blue Mountain,NY,NULL
Orchard Park,NY,NULL
Prattsville,NY,NULL
Aurora,NY,NULL
Varysburg,NY,NULL
Sodus,NY,NULL
Blue Point,NY,Suffolk
Hudson Falls,NY,Washington
Piseco,NY,NULL
Town Of Java,NY,NULL
Port Kent,NY,NULL
Delevan,NY,Cattaraugus
Rexford,NY,NULL
Frewsburg,NY,Chautauqua
Red Hook,NY,NULL
Jewett,NY,NULL
Sanborn,NY,Niagara
Solvay,NY,Onondaga
Worcester,NY,NULL
Farmington,NY,NULL
Downsville,NY,Delaware
Quogue,NY,Suffolk
Oswego,NY,Oswego
Marlboro,NY,Ulster
Mansfield,NY,NULL
Mt Tremper,NY,NULL
Park Slope,NY,NULL
Moravia,NY,NULL
Onondaga Hill,NY,NULL
East Concord,NY,NULL
Rouses Point,NY,Clinton
Mexico,NY,NULL
Calverton,NY,Suffolk
Nyc,NY,NULL
Dexter,NY,Jefferson
Mattituck,NY,Suffolk
New Rochelle,NY,Westchester
Broadalbin,NY,NULL
Oakdale,NY,Suffolk
Pulaski,NY,Oswego
Ballston Spa,NY,Saratoga
Ashville,NY,NULL
Miller Place,NY,Suffolk
Depew,NY,Erie
Corfu,NY,Genesee
Farmingdale,NY,Nassau
Ancram,NY,NULL
Port Crane,NY,NULL
Goshen,NY,NULL
Alexandria Bay,NY,Jefferson
Mooers,NY,NULL
La Fayette,NY,NULL
Patchogue,NY,Suffolk
Norway,NY,NULL
Dalton,NY,Livingston
Chester,NY,Orange
Town Of Ellicott,NY,NULL
Massapequa,NY,Nassau
Minerva,NY,NULL
Saint Johnsville,NY,NULL
Palmyra,NY,NULL
Massapequa Park,NY,Nassau
Cadyville,NY,Clinton
Stuyvesant,NY,NULL
Saranac,NY,NULL
Hamden,NY,NULL
Greece,NY,NULL
South Otselic,NY,NULL
Hammond,NY,NULL
Avoca,NY,NULL
Brighton,NY,NULL
Mount Sinai,NY,Suffolk
Clarksville,NY,NULL
Glen Wild,NY,NULL
Hammondsport,NY,Steuben
Battery Park Nyc,NY,NULL
Livingston Manor + Liberty,NY,NULL
Ridge,NY,Suffolk
Washingtonville,NY,Orange
Lafayette,NY,NULL
Oyster Bay Cove,NY,Nassau
Ransomville,NY,Niagara
Staten Island,NY,Richmond
Montezuma,NY,NULL
Ravena,NY,Albany
Watertown,NY,Jefferson
Margaretville,NY,Delaware
Bloomingburg,NY,Sullivan
Clintondale,NY,Ulster
Fabius,NY,NULL
Fire Island,NY,Suffolk
Johnstown,NY,Fulton
Clarence Center,NY,Erie
Altamont,NY,Albany
Hampton Bay,NY,NULL
Piermont,NY,Rockland
North Salem,NY,NULL
New York City (Manhattan),NY,NULL
Cape Vincent,NY,NULL
Medina,NY,Orleans
Glens Falls,NY,Warren
North Collins,NY,NULL
Bainbridge,NY,NULL
East Durham,NY,NULL
Berne,NY,NULL
Centerport,NY,Suffolk
Gowanda,NY,Cattaraugus
Garrison,NY,NULL
Potsdam,NY,NULL
Springfield Gardens,NY,NULL
Weschester,NY,NULL
Cherry Plain,NY,NULL
West Chazy,NY,Clinton
Diamond Point,NY,NULL
Woodbury,NY,Orange
Penfield,NY,Nassau
Riverhead (Long Is.),NY,NULL
Manlius,NY,NULL
Pendleton,NY,NULL
Utica,NY,NULL
Porters Corners,NY,Oneida
West Amherst,NY,NULL
South Glens Falls,NY,NULL
Cornwall-On-Hudson,NY,Saratoga
Montour Falls,NY,Orange
North Chili,NY,Schuyler
Buffalo,NY,NULL
Port Byron,NY,Erie
Cedarhurst,NY,Cayuga
Malta,NY,Nassau
Jamestown,NY,NULL
Shokan,NY,Chautauqua
New York City (Manhattaan),NY,Ulster
Akron,NY,NULL
Guilford,NY,Erie
Bayville,NY,NULL
Floral Park,NY,Nassau
Tupper Lake,NY,Nassau
Ellicottville,NY,NULL
Deerfield,NY,NULL
Alabama,NY,NULL
Wanakena,NY,NULL
Town Of Pendleton,NY,NULL
Katonah,NY,NULL
Wrappinger Falls,NY,Westchester
Delanson,NY,NULL
Onchiota,NY,Schenectady
Robert Moses Beach,NY,NULL
Mcgraw,NY,NULL
Lansing,NY,Cortland
Mount Vernon,NY,NULL
Van Etten,NY,Westchester
Ft. Montgomery,NY,NULL
Schuyler Lake,NY,NULL
Clinton Corners,NY,Otsego
Randolph,NY,NULL
Bearsville,NY,NULL
Selden,NY,NULL
Mc Donough,NY,Suffolk
Lonelyville New York,NY,NULL
Alder Creek,NY,NULL
Greenville,NY,NULL
Middle Village,NY,Westchester
Hudson,NY,NULL
West Hurley,NY,Columbia
Barker,NY,Ulster
East Quogue,NY,NULL
Huntington Station,NY,Suffolk
Barrytown,NY,Suffolk
Town Of Prattsburgh,NY,Dutchess
Coram,NY,NULL
"Robert Moses Beach, Babylon",NY,Suffolk
Savannah,NY,NULL
North Tonanwanda,NY,NULL
Crookes Point,NY,NULL
Red Creek,NY,NULL
Armonk,NY,Wayne
Town Of Tusten,NY,Westchester
Stormville,NY,NULL
Baldwinsville,NY,NULL
Cooperstown,NY,Onondaga
Port Chester,NY,Otsego
Lido Beach,NY,Westchester
Nicholville,NY,Nassau
Babylon,NY,NULL
Leroy,NY,NULL
Middle Island,NY,NULL
Town Of Ashford,NY,Suffolk
Sailors Haven,NY,NULL
Yorktown Heights,NY,NULL
Kingston,NY,Westchester
Rensselaer,NY,Ulster
Brooklyn Botanic Garden,NY,Rensselaer
Eastport,NY,NULL
Lloyd Harbor,NY,Suffolk
Plainview,NY,Suffolk
Berlin,NY,Nassau
Shelter Island Heights,NY,NULL
Seneca Falls,NY,Suffolk
Geneva,NY,NULL
Speculator,NY,Ontario
Congers,NY,Hamilton
Genoa,NY,Rockland
Accord,NY,NULL
Sardinia,NY,Ulster
Cobleskill,NY,NULL
Dresden,NY,NULL
Sayville,NY,NULL
Fullers,NY,Suffolk
Jeffersonville,NY,NULL
Snyder,NY,Sullivan
Town Of Webster,NY,NULL
Napanoch,NY,NULL
Little York,NY,Ulster
Slaterville Springs,NY,NULL
Colonie,NY,Tompkins
Malone,NY,NULL
Falconer,NY,NULL
Town Of Wheatland,NY,Chautauqua
Wynantskill,NY,NULL
Newburgh (Newburgh Bay),NY,Rensselaer
Bergen,NY,NULL
Skaneateles,NY,NULL
Lockport,NY,NULL
Canton,NY,Niagara
Tivoli,NY,NULL
Keuka Park,NY,Dutchess
Briarcliff Manor,NY,Yates
Cortlandt Manor,NY,Westchester
"Smiths Point County Park, Mastic",NY,NULL
Mount Hope,NY,NULL
Petersburg,NY,NULL
Sloan,NY,NULL
Ellenville,NY,Erie
Mohonk Mountain House,NY,Ulster
Haverstraw,NY,NULL
Horseheads,NY,NULL
Sagaponack,NY,NULL
Dundee,NY,Suffolk
West Point,NY,Yates
Highland Mills,NY,Orange
Lakeville,NY,NULL
Cheektowaga,NY,Livingston
Town Of Santa Clara,NY,NULL
De Kalb,NY,NULL
Irondequoit,NY,NULL
Grindstone,NY,NULL
Fire Island National Seashore,NY,NULL
Albion,NY,NULL
Lodi,NY,Orleans
Valatie,NY,NULL
Fort Montgomery,NY,Columbia
Churchville,NY,Orange
Flatbush,NY,Monroe
Ridgewood,NY,NULL
Jamaica,NY,NULL
Dansville,NY,NULL
Bolton,NY,Livingston
Fulton,NY,NULL
Poughkeepsie,NY,Oswego
Manorville,NY,Dutchess
Roscoe,NY,Suffolk
Schuylerville,NY,Sullivan
Chenango Forks,NY,Saratoga
Castle Creek,NY,NULL
North Massapequa,NY,NULL
Mendon,NY,Nassau
Marilla,NY,NULL
Larchmont,NY,NULL
Sound Beach,NY,Westchester
Amherst,NY,Suffolk
Monticello,NY,NULL
Johnson City,NY,Sullivan
Onondaga,NY,Broome
Ellenvile,NY,NULL
Trumansburg,NY,NULL
Newark,NY,Tompkins
North Babylon,NY,Wayne
Java Center,NY,Suffolk
Far Rockaway,NY,NULL
Westhampton,NY,NULL
Franklinville,NY,Suffolk
Hemlock,NY,NULL
Wayland,NY,Livingston
Poughquag,NY,NULL
Carmel Hamlet,NY,NULL
Brentwood,NY,NULL
Brightwaters,NY,Suffolk
Stanfordville,NY,Suffolk
Prattsburgh,NY,NULL
Waterford,NY,NULL
White Plains,NY,NULL
Willseyville,NY,Westchester
New Windsor,NY,NULL
Center Moriches,NY,NULL
Moira,NY,Suffolk
Panama,NY,NULL
Town Of Lake George,NY,Chautauqua
Long Island City,NY,NULL
Wilton,NY,NULL
Hadley,NY,NULL
Afton,NY,NULL
Hopewell Junction,NY,NULL
St James,NY,Dutchess
Wolcott,NY,NULL
Merrick,NY,NULL
Ray Brook,NY,Nassau
Old Forge,NY,NULL
Harrisville,NY,Herkimer
Worth Center,NY,NULL
Town Of Rhinebeck,NY,NULL
Arena,NY,NULL
Sidney,NY,NULL
Leeds,NY,NULL
Piffard,NY,Greene
Glen Aubrey,NY,Livingston
Lyndonville,NY,Broome
Philipstown,NY,Orleans
Dolgeville,NY,NULL
Town Of Northampton,NY,Herkimer
Woodridge,NY,NULL
East Moriches,NY,Sullivan
Wellesley Island,NY,Suffolk
Clymer,NY,NULL
Selkirk,NY,NULL
Sailor'S Haven,NY,NULL
Town Of East Hampton,NY,NULL
Clarence,NY,NULL
Fredonia,NY,NULL
Point Lookout,NY,Chautauqua
Summit,NY,Nassau
Manheim,NY,NULL
Croton On Hudson,NY,NULL
Lindenhurst,NY,NULL
West Seneca,NY,Suffolk
Grahamsville,NY,NULL
Avon,NY,Sullivan
Elma,NY,NULL
Chili,NY,NULL
Orient,NY,NULL
Levittown,NY,Suffolk
Perry,NY,Nassau
Glen Cove,NY,NULL
Melrose,NY,Nassau
Plattsburgh,NY,NULL
Fort Ann,NY,Clinton
Delancey,NY,NULL
Bayshore,NY,NULL
West Babylon,NY,NULL
Yorkshire,NY,Suffolk
Mannsville,NY,NULL
Queens,NY,Jefferson
Elmira,NY,Queens
Albany,NY,Chemung
Interlakesn,NY,Albany
Brewster,NY,NULL
Clayton,NY,Putnam
Saratoga Springs,NY,NULL
Tonawanda,NY,Saratoga
Wevertown,NY,Erie
East Rockaway,NY,NULL
"Smiths Point Count Park, Li, Ny",NY,Nassau
Bolton Landing,NY,NULL
Elizaville,NY,Warren
Cohocton,NY,NULL
Schenectady,NY,NULL
Kings Park,NY,Schenectady
Mahopac,NY,Suffolk
Hurley,NY,Putnam
Amboy,NY,NULL
Smith Pont,NY,NULL
Tannersville,NY,NULL
Mountainville,NY,Greene
Batavia,NY,NULL
North Branch,NY,Genesee
Ghent,NY,NULL
Syosset,NY,NULL
Valley Stream,NY,Nassau
Kennedy,NY,Nassau
Jones & Robert Moses Beach Babylon,NY,Chautauqua
Sylvan Beach,NY,NULL
Slingerlands,NY,Oneida
Adamsville,NY,NULL
Robert Moses Beach Babylon Ny,NY,NULL
Solon,NY,NULL
East Meredith,NY,NULL
Owego,NY,NULL
Rhinebeck,NY,NULL
Seaford,NY,NULL
Le Roy,NY,Nassau
Glenwood Landing,NY,NULL
Wappingers Falls,NY,Nassau
Poland,NY,Dutchess
Eagle Bridge,NY,NULL
Saint Regis Falls,NY,NULL
Scarsdale,NY,NULL
Morrisonville,NY,Westchester
Arcade,NY,Clinton
Dewitt,NY,NULL
Vermontville,NY,NULL
Keene,NY,NULL
Mariaville Lake,NY,NULL
Town Of Red Hook,NY,Schenectady
Sparkill,NY,NULL
Bayside,NY,Rockland
Mastic,NY,NULL
Copenhagen,NY,Suffolk
Forestport,NY,Lewis
Town Of Catlin,NY,NULL
Rye,NY,NULL
Huntington,NY,NULL
Robert Moses Beach Babylon,NY,NULL
Canandaigua,NY,NULL
Holbrook,NY,NULL
Greenwich,NY,Suffolk
Loudonville,NY,NULL
Fillmore,NY,Albany
Kendall,NY,Allegany
Blossvale,NY,NULL
Rockville Centre,NY,NULL
Big Moose,NY,Nassau
Bliss,NY,NULL
Thousand Island Park,NY,Wyoming
Irving,NY,Jefferson
Homer,NY,NULL
Alfred Station,NY,NULL
Garden City,NY,NULL
Rome,NY,Nassau
Ballston Lake,NY,Oneida
Montauk,NY,NULL
Lisbon,NY,Suffolk
Naples,NY,NULL
Lonelyville,NY,NULL
Milton,NY,NULL
Canastota,NY,Ulster
West Hempstead,NY,Madison
Halfmoon,NY,Nassau
Brushton,NY,NULL
Athens,NY,Franklin
Montgomery,NY,NULL
Ardsley,NY,NULL
Fort Edward,NY,Westchester
Denver,NY,NULL
Davenport,NY,NULL
Bridgehampton,NY,NULL
Chenango,NY,Suffolk
Williamsville Ny 14221,NY,NULL
Palermo,NY,NULL
Cambria,NY,NULL
Wells,NY,NULL
Hyde Park,NY,NULL
Mount Morris,NY,NULL
Big Flats,NY,NULL
Roxbury,NY,NULL
"Saltaire, Fire Island",NY,NULL
Castleton-On-Hudson,NY,NULL
Vestal,NY,Rensselaer
Brooklyn Heights,NY,NULL
Manhasset,NY,NULL
Sag Harbor,NY,Nassau
North Bellmore,NY,Suffolk
Harpursville,NY,Nassau
Southold,NY,NULL
Tuxedo Park,NY,NULL
Westerlo,NY,Orange
Town Of St Armand,NY,NULL
Gloversville,NY,NULL
New City,NY,Fulton
Hamilton,NY,Rockland
East Hampton,NY,NULL
Springwater,NY,NULL
Rainbow Lake,NY,NULL
West Sayville,NY,NULL
Petersburgh,NY,Suffolk
Barnes Corners,NY,NULL
Saugerties,NY,NULL
Town Of Olean,NY,NULL
Weedsport,NY,NULL
Highland,NY,Cayuga
Port Jervis,NY,Ulster
Forest Hills,NY,Orange
Bay Shore,NY,NULL
Copake,NY,Suffolk
Town Of Canandaigua,NY,NULL
Carmel,NY,NULL
East Norwich,NY,NULL
Cuba,NY,Nassau
Islip Terrace,NY,NULL
Battery Park,NY,Suffolk
Bath,NY,NULL
Fire Island Ny,NY,NULL
Shelby,NY,NULL
Cornwallville,NY,NULL
Argyle,NY,NULL
Kenmore,NY,NULL
Angola,NY,Erie
Claryville,NY,Erie
Averill Park,NY,NULL
Interlaken,NY,Rensselaer
New York,NY,Seneca
Groton,NY,Queens
Lake View,NY,NULL
Town Of Wallkill,NY,NULL
Islip,NY,NULL
Stony Brook,NY,NULL
Henrietta,NY,Suffolk
Germantown,NY,NULL
Manhattan,NY,NULL
Nedrow,NY,New York
Jfk,NY,Onondaga
Brookhaven,NY,NULL
Town Of Neversink,NY,NULL
Forestville,NY,NULL
Mamaroneck,NY,Chautauqua
Port Jefferson,NY,NULL
Hunt,NY,Suffolk
North Tonawanda,NY,Livingston
Amityville,NY,Niagara
Potter,NY,Suffolk
Middlesex,NY,NULL
Maybrook,NY,NULL
Olmstedville,NY,Orange
Bronx,NY,NULL
Upper Saranac Lake,NY,Bronx
Glen Oaks,NY,NULL
Essex,NY,NULL
Caneadea,NY,NULL
Hewlets Landing,NY,NULL
Gardiner,NY,NULL
Ontario Beach Park,NY,NULL
North Boston,NY,NULL
New York City (Central Park),NY,Erie
Blind Sodus Bay,NY,NULL
Sloatsburg,NY,NULL
Tug Hill,NY,Rockland
Machias,NY,NULL
Grand Island,NY,NULL
Round Lake,NY,NULL
Ira,NY,Saratoga
Victor,NY,NULL
Ticonderoga,NY,NULL
Brooklyn Bridge Park,NY,NULL
Shirley,NY,NULL
Tarrytown,NY,Suffolk
Port Washington,NY,Westchester
Galway,NY,Nassau
Chestertown,NY,NULL
Fort Plain,NY,Warren
Town Of Middlefield,NY,Montgomery
Hampton Bays,NY,NULL
Bohemia,NY,Suffolk
Salamanca,NY,Suffolk
Springfield Center,NY,Cattaraugus
Chaumont,NY,Otsego
Middle Grove,NY,Jefferson
Belmont,NY,NULL
Osceola,NY,Allegany
Latham,NY,NULL
Town Of Horseheads,NY,Albany
Chittenango,NY,NULL
Wilmington,NY,Madison
Dobbs Ferry,NY,NULL
Woodstock,NY,Westchester
Warrensburg,NY,NULL
Haines Falls,NY,NULL
Town Of Scipio,NY,Greene
Adams,NY,NULL
Montebello,NY,NULL
Saint James,NY,Rockland
Henderson Harbor,NY,NULL
North Hudson,NY,NULL
Rocky Point,NY,NULL
Town Of Murray,NY,Suffolk
New York City,NY,NULL
Yaphank,NY,NULL
Highland Falls,NY,Suffolk
East Worcester,NY,Orange
Pleasantville,NY,Otsego
Whitesboro,NY,Westchester
Worth,NY,Oneida
Eagle Bay,NY,NULL
Jay,NY,Herkimer
Setauket- East Setauket,NY,NULL
Oneonta,NY,NULL
Walton,NY,Otsego
Jamesport,NY,NULL
Delvan,NY,Suffolk
Glenmont,NY,NULL
Holtsville,NY,NULL
Blooming Grove,NY,Suffolk
Bradford,NY,NULL
Greene,NY,NULL
Oneida,NY,NULL
Riverhead,NY,Madison
Williamsburg Brooklyn,NY,NULL
Union Springs,NY,NULL
Newark Valley,NY,Cayuga
West Davenport,NY,NULL
Frankfort,NY,NULL
Granite Springs,NY,NULL
Fayetteville,NY,NULL
Elbridge,NY,Onondaga
Spencerport,NY,NULL
Peru,NY,Monroe
Voorheesville,NY,NULL
Slate Hill,NY,Albany
South New Berlin,NY,NULL
Canton New York 13617,NY,NULL
Cortland,NY,NULL
Clinton,NY,Cortland
Syracuse,NY,Oneida
East Irondequoit,NY,Onondaga
Au Sable Forks,NY,NULL
Thiells,NY,Clinton
"Central Park, New York City",NY,Rockland
Mineola,NY,NULL
Sherman,NY,Nassau
Colton,NY,NULL
Porter Corners,NY,NULL
Williamstown,NY,NULL
Franklin Square,NY,NULL
"Whitney Point, Ny",NY,Nassau
Gansevoort,NY,NULL
Otego,NY,NULL
Elmont,NY,NULL
Niagara Falls,NY,Nassau
Himrod,NY,Niagara
Locust Valley,NY,NULL
Richmondville,NY,Nassau
Great Valley,NY,NULL
